metric,mean_coef,abs_mean_coef,std_coef,cv,sign_agreement,consistency_score
right_subspace_overlap_top_k,24.884317663311958,24.884317663311958,32.95955328239612,1.3245110320121305,1.0,0.7019952654122263
right_subspace_overlap_bottom_k,-21.45997118577361,21.45997118577361,46.44782883099674,2.16439381056319,0.9,0.39745736620617067
interaction_matrix_overlap_top_k,3.0477170914411547,3.0477170914411547,29.44813489197986,9.662358385578145,0.8,0.08194741151706066
interaction_matrix_overlap_bottom_k,-7.693886118475348,7.693886118475348,16.816422182155378,2.1856863880422144,0.8,0.35000427188317523
effective_rank,-15.86112438365817,15.86112438365817,77.27818635885329,4.872175795415349,0.4,0.08044767853317346
effective_rank_mergeability_score,-22.590986900776624,22.590986900776624,63.72198044247379,2.8206815706699544,0.55,0.18831220956204392
stable_rank,-9.08781628832221,9.08781628832221,31.414265763563954,3.456745243559076,0.6,0.16869355517844364
spectral_gap,7.0064030229114,7.0064030229114,56.62427731723825,8.081789907211338,0.6,0.07333358675846305
singular_value_ratio,-26.14368128105998,26.14368128105998,115.573807774393,4.420716672900778,0.5,0.11060193243191424
layerwise_effective_rank,-11.62832197882235,11.62832197882235,24.987619985185876,2.1488586237296374,0.65,0.28903551034346586
layerwise_effective_rank_mergeability_score,7.374473150772974,7.374473150772974,23.34956698298681,3.166269165801584,0.65,0.19900380740375442
task_vector_cosine_similarity,25.765199330821634,25.765199330821634,59.618398088585444,2.3139117730064593,0.6,0.24855920862953362
task_vector_l2_distance,7.543472252972424,7.543472252972424,48.96830750016051,6.491481083654848,0.3,0.045513291503471304
task_vector_dot_product,32.70200961623341,32.70200961623341,126.74757145529252,3.8758343265123423,0.75,0.1886396510535464
weight_space_angle,9.043665704131126,9.043665704131126,87.50823634574122,9.67619095086694,0.65,0.06648806301623628
task_vector_magnitude_ratio,3.6100683782249687,3.6100683782249687,36.96214826425139,10.23862827219882,0.45,0.04352608374653304
singular_value_overlap,11.62949704453349,11.62949704453349,25.205987258613217,2.167418516932961,0.8,0.35282414517904065
subspace_overlap,-2.5813743587583304,2.5813743587583304,52.12356675040542,20.1921764550089,0.35,0.01724802663607857
right_subspace_overlap,41.54706780798733,41.54706780798733,128.9791614174541,3.1044106886795517,0.9,0.2808628754046707
activation_l2_distance,-30.61918609701097,30.61918609701097,87.2777446878137,2.85042666982678,0.6,0.2033604177104412
activation_cosine_similarity,-1.3738335184752941,1.3738335184752941,50.63249621391177,36.85489920318414,0.1,0.002706001156982826
activation_magnitude_ratio,-44.809852621518075,44.809852621518075,132.56714840673143,2.9584375002716965,0.9,0.29426790638031625
activation_dot_product,21.18413727879524,21.18413727879524,36.035032498347825,1.701038470771597,0.9,0.49971170222389744
encoder_gradient_cosine_similarity,-5.065913705155253,5.065913705155253,53.05629262702772,10.473193111896839,0.1,0.009457880787922158
encoder_gradient_l2_distance,-13.815849283337593,13.815849283337593,23.703791910265593,1.7156956048801324,0.9,0.4956777984046592
encoder_gradient_dot_product,21.24355522254482,21.24355522254482,74.05584447131001,3.48603817302,0.95,0.264916309911992
input_gradient_cosine_similarity,44.986493152752516,44.986493152752516,157.16173506543953,3.493531591734845,0.95,0.26436389266342014
input_gradient_l2_distance,-38.55215023010969,38.55215023010969,66.33950667133301,1.7207731931463925,1.0,0.549217224728549
input_gradient_dot_product,-9.28992280960083,9.28992280960083,79.54467460280152,8.562468832891703,0.9,0.10389647770883376
